id,region,ticker,date,value_usd
1297,china,gdp,2019-07-20,25104630000000.0
1298,china,gdp,2019-07-21,25104630000000.0
1299,china,gdp,2019-07-22,25104630000000.0
1300,china,gdp,2019-07-23,25104630000000.0
1301,china,gdp,2019-07-24,25104630000000.0
1302,china,gdp,2019-07-25,25104630000000.0
1303,china,gdp,2019-07-26,25104630000000.0
1304,china,gdp,2019-07-27,25104630000000.0
1305,china,gdp,2019-07-28,25104630000000.0
1306,china,gdp,2019-07-29,25104630000000.0
1307,china,gdp,2019-07-30,25104630000000.0
1308,china,gdp,2019-07-31,25104630000000.0
1309,china,gdp,2019-08-01,25104630000000.0
1310,china,gdp,2019-08-02,25104630000000.0
1311,china,gdp,2019-08-03,25104630000000.0
1312,china,gdp,2019-08-04,25104630000000.0
1313,china,gdp,2019-08-05,25104630000000.0
1314,china,gdp,2019-08-06,25104630000000.0
1315,china,gdp,2019-08-07,25104630000000.0
1316,china,gdp,2019-08-08,25104630000000.0
1317,china,gdp,2019-08-09,25104630000000.0
1318,china,gdp,2019-08-10,25104630000000.0
1319,china,gdp,2019-08-11,25104630000000.0
1320,china,gdp,2019-08-12,25104630000000.0
1321,china,gdp,2019-08-13,25104630000000.0
1322,china,gdp,2019-08-14,25104630000000.0
1323,china,gdp,2019-08-15,25104630000000.0
1324,china,gdp,2019-08-16,25104630000000.0
1325,china,gdp,2019-08-17,25104630000000.0
1326,china,gdp,2019-08-18,25104630000000.0
1327,china,gdp,2019-08-19,25104630000000.0
1328,china,gdp,2019-08-20,25104630000000.0
1329,china,gdp,2019-08-21,25104630000000.0
1330,china,gdp,2019-08-22,25104630000000.0
1331,china,gdp,2019-08-23,25104630000000.0
1332,china,gdp,2019-08-24,25104630000000.0
1333,china,gdp,2019-08-25,25104630000000.0
1334,china,gdp,2019-08-26,25104630000000.0
1335,china,gdp,2019-08-27,25104630000000.0
1336,china,gdp,2019-08-28,25104630000000.0
1337,china,gdp,2019-08-29,25104630000000.0
1338,china,gdp,2019-08-30,25104630000000.0
1339,china,gdp,2019-08-31,25104630000000.0
1340,china,gdp,2019-09-01,25104630000000.0
1341,china,gdp,2019-09-02,25104630000000.0
1342,china,gdp,2019-09-03,25104630000000.0
1343,china,gdp,2019-09-04,25104630000000.0
1344,china,gdp,2019-09-05,25104630000000.0
1345,china,gdp,2019-09-06,25104630000000.0
1346,china,gdp,2019-09-07,25104630000000.0
1347,china,gdp,2019-09-08,25104630000000.0
1348,china,gdp,2019-09-09,25104630000000.0
1349,china,gdp,2019-09-10,25104630000000.0
1350,china,gdp,2019-09-11,25104630000000.0
1351,china,gdp,2019-09-12,25104630000000.0
1352,china,gdp,2019-09-13,25104630000000.0
1353,china,gdp,2019-09-14,25104630000000.0
1354,china,gdp,2019-09-15,25104630000000.0
1355,china,gdp,2019-09-16,25104630000000.0
1356,china,gdp,2019-09-17,25104630000000.0
1357,china,gdp,2019-09-18,25104630000000.0
1358,china,gdp,2019-09-19,25104630000000.0
1359,china,gdp,2019-09-20,25104630000000.0
1360,china,gdp,2019-09-21,25104630000000.0
1361,china,gdp,2019-09-22,25104630000000.0
1362,china,gdp,2019-09-23,25104630000000.0
1363,china,gdp,2019-09-24,25104630000000.0
1364,china,gdp,2019-09-25,25104630000000.0
1365,china,gdp,2019-09-26,25104630000000.0
1366,china,gdp,2019-09-27,25104630000000.0
1367,china,gdp,2019-09-28,25104630000000.0
1368,china,gdp,2019-09-29,25104630000000.0
1369,china,gdp,2019-09-30,25104630000000.0
1370,china,gdp,2019-10-01,27679800000000.0
1371,china,gdp,2019-10-02,27679800000000.0
1372,china,gdp,2019-10-03,27679800000000.0
1373,china,gdp,2019-10-04,27679800000000.0
1374,china,gdp,2019-10-05,27679800000000.0
1375,china,gdp,2019-10-06,27679800000000.0
1376,china,gdp,2019-10-07,27679800000000.0
1377,china,gdp,2019-10-08,27679800000000.0
1378,china,gdp,2019-10-09,27679800000000.0
1379,china,gdp,2019-10-10,27679800000000.0
1380,china,gdp,2019-10-11,27679800000000.0
1381,china,gdp,2019-10-12,27679800000000.0
1382,china,gdp,2019-10-13,27679800000000.0
1383,china,gdp,2019-10-14,27679800000000.0
1384,china,gdp,2019-10-15,27679800000000.0
1385,china,gdp,2019-10-16,27679800000000.0
1386,china,gdp,2019-10-17,27679800000000.0
1387,china,gdp,2019-10-18,27679800000000.0
1388,china,gdp,2019-10-19,27679800000000.0
1389,china,gdp,2019-10-20,27679800000000.0
1390,china,gdp,2019-10-21,27679800000000.0
1391,china,gdp,2019-10-22,27679800000000.0
1392,china,gdp,2019-10-23,27679800000000.0
1393,china,gdp,2019-10-24,27679800000000.0
1394,china,gdp,2019-10-25,27679800000000.0
1395,china,gdp,2019-10-26,27679800000000.0
1396,china,gdp,2019-10-27,27679800000000.0
1397,china,gdp,2019-10-28,27679800000000.0
1398,china,gdp,2019-10-29,27679800000000.0
1399,china,gdp,2019-10-30,27679800000000.0
1400,china,gdp,2019-10-31,27679800000000.0
1401,china,gdp,2019-11-01,27679800000000.0
1402,china,gdp,2019-11-02,27679800000000.0
1403,china,gdp,2019-11-03,27679800000000.0
1404,china,gdp,2019-11-04,27679800000000.0
1405,china,gdp,2019-11-05,27679800000000.0
1406,china,gdp,2019-11-06,27679800000000.0
1407,china,gdp,2019-11-07,27679800000000.0
1408,china,gdp,2019-11-08,27679800000000.0
