id,region,ticker,date,price_egp,high_egp,low_egp
693,egypt,egx30,2017-11-23,29707.939453125,30169.990234375,29593.7890625
694,egypt,egx30,2017-11-24,29866.3203125,29918.919921875,29696.58984375
695,egypt,egx30,2017-11-25,29686.189453125,29859.109375,29610.9609375
696,egypt,egx30,2017-11-26,29686.189453125,29859.109375,29610.9609375
697,egypt,egx30,2017-11-27,29686.189453125,29859.109375,29610.9609375
698,egypt,egx30,2017-11-28,29680.849609375,29687.44921875,29334.58984375
699,egypt,egx30,2017-11-29,29623.830078125,29831.189453125,29563.390625
700,egypt,egx30,2017-11-30,29177.349609375,29353.509765625,29127.30078125
701,egypt,egx30,2017-12-01,29074.240234375,29345.970703125,29028.759765625
702,egypt,egx30,2017-12-02,29138.279296875,29343.779296875,28803.189453125
703,egypt,egx30,2017-12-03,29138.279296875,29343.779296875,28803.189453125
704,egypt,egx30,2017-12-04,29138.279296875,29343.779296875,28803.189453125
705,egypt,egx30,2017-12-05,28842.80078125,29124.240234375,28838.119140625
706,egypt,egx30,2017-12-06,28224.80078125,28929.2109375,28204.529296875
707,egypt,egx30,2017-12-07,28303.189453125,28478.33984375,28134.9296875
708,egypt,egx30,2017-12-08,28639.849609375,28705.759765625,28344.390625
709,egypt,egx30,2017-12-09,28965.2890625,28998.509765625,28645.41015625
710,egypt,egx30,2017-12-10,28965.2890625,28998.509765625,28645.41015625
711,egypt,egx30,2017-12-11,28965.2890625,28998.509765625,28645.41015625
712,egypt,egx30,2017-12-12,28793.880859375,29066.76953125,28745.73046875
713,egypt,egx30,2017-12-13,29222.099609375,29276.669921875,28707.599609375
714,egypt,egx30,2017-12-14,29166.380859375,29367.509765625,29047.609375
715,egypt,egx30,2017-12-15,28848.109375,29017.66015625,28738.83984375
716,egypt,egx30,2017-12-16,29050.41015625,29143.330078125,28821.189453125
717,egypt,egx30,2017-12-17,29050.41015625,29143.330078125,28821.189453125
718,egypt,egx30,2017-12-18,29050.41015625,29143.330078125,28821.189453125
719,egypt,egx30,2017-12-19,29253.66015625,29339.109375,29144.169921875
720,egypt,egx30,2017-12-20,29234.08984375,29326.51953125,29159.279296875
721,egypt,egx30,2017-12-21,29367.060546875,29431.810546875,29145.130859375
722,egypt,egx30,2017-12-22,29578.009765625,29578.009765625,29413.859375
723,egypt,egx30,2017-12-23,29597.66015625,29693.8203125,29516.509765625
724,egypt,egx30,2017-12-24,29597.66015625,29693.8203125,29516.509765625
725,egypt,egx30,2017-12-25,29597.66015625,29693.8203125,29516.509765625
726,egypt,egx30,2017-12-26,29597.66015625,29693.8203125,29516.509765625
727,egypt,egx30,2017-12-27,29597.66015625,29693.8203125,29516.509765625
728,egypt,egx30,2017-12-28,29863.7109375,29873.099609375,29661.060546875
729,egypt,egx30,2017-12-29,29919.150390625,29997.9609375,29849.310546875
730,egypt,egx30,2017-12-30,30515.310546875,30515.310546875,30028.2890625
731,egypt,egx30,2017-12-31,30515.310546875,30515.310546875,30028.2890625
732,egypt,egx30,2018-01-01,30515.310546875,30515.310546875,30028.2890625
733,egypt,egx30,2018-01-02,30515.310546875,30515.310546875,30028.2890625
734,egypt,egx30,2018-01-03,30560.94921875,30724.3203125,30456.759765625
735,egypt,egx30,2018-01-04,30736.48046875,30796.9296875,30560.4296875
736,egypt,egx30,2018-01-05,30814.640625,30911.009765625,30638.529296875
737,egypt,egx30,2018-01-06,30899.529296875,30929.150390625,30732.5390625
738,egypt,egx30,2018-01-07,30899.529296875,30929.150390625,30732.5390625
739,egypt,egx30,2018-01-08,30899.529296875,30929.150390625,30732.5390625
740,egypt,egx30,2018-01-09,31011.41015625,31056.69921875,30852.4296875
741,egypt,egx30,2018-01-10,31073.720703125,31267.5703125,30928.580078125
742,egypt,egx30,2018-01-11,31120.390625,31133.1796875,30950.0703125
743,egypt,egx30,2018-01-12,31412.5390625,31412.5390625,31198.359375
744,egypt,egx30,2018-01-13,31338.869140625,31733.1796875,31265.25
745,egypt,egx30,2018-01-14,31338.869140625,31733.1796875,31265.25
746,egypt,egx30,2018-01-15,31338.869140625,31733.1796875,31265.25
747,egypt,egx30,2018-01-16,31904.75,31904.75,31423.619140625
748,egypt,egx30,2018-01-17,31983.41015625,31983.41015625,31642.26953125
749,egypt,egx30,2018-01-18,32121.939453125,32233.810546875,31869.69921875
750,egypt,egx30,2018-01-19,32254.890625,32254.890625,31986.0
751,egypt,egx30,2018-01-20,32393.41015625,32417.23046875,32046.83984375
752,egypt,egx30,2018-01-21,32393.41015625,32417.23046875,32046.83984375
753,egypt,egx30,2018-01-22,32393.41015625,32417.23046875,32046.83984375
754,egypt,egx30,2018-01-23,32930.69921875,32930.69921875,32554.23046875
755,egypt,egx30,2018-01-24,32958.69140625,33018.7109375,32728.509765625
756,egypt,egx30,2018-01-25,32654.44921875,32998.05078125,32650.220703125
757,egypt,egx30,2018-01-26,33154.12109375,33223.578125,32794.12890625
758,egypt,egx30,2018-01-27,32966.890625,33484.078125,32897.0390625
759,egypt,egx30,2018-01-28,32966.890625,33484.078125,32897.0390625
760,egypt,egx30,2018-01-29,32966.890625,33484.078125,32897.0390625
761,egypt,egx30,2018-01-30,32607.2890625,32976.75,32501.349609375
762,egypt,egx30,2018-01-31,32887.26953125,32933.98046875,32330.390625
763,egypt,egx30,2018-02-01,32642.08984375,33048.0390625,32642.08984375
764,egypt,egx30,2018-02-02,32601.779296875,32778.51171875,32321.419921875
765,egypt,egx30,2018-02-03,32245.220703125,32394.869140625,31712.01953125
766,egypt,egx30,2018-02-04,32245.220703125,32394.869140625,31712.01953125
767,egypt,egx30,2018-02-05,32245.220703125,32394.869140625,31712.01953125
768,egypt,egx30,2018-02-06,30595.419921875,31286.029296875,30577.830078125
769,egypt,egx30,2018-02-07,30323.19921875,31472.470703125,30292.150390625
770,egypt,egx30,2018-02-08,30451.26953125,30739.109375,30251.3203125
771,egypt,egx30,2018-02-09,29507.419921875,29679.2109375,29129.259765625
772,egypt,egx30,2018-02-10,29459.630859375,29801.51953125,29459.630859375
773,egypt,egx30,2018-02-11,29459.630859375,29801.51953125,29459.630859375
774,egypt,egx30,2018-02-12,29459.630859375,29801.51953125,29459.630859375
775,egypt,egx30,2018-02-13,29839.529296875,30169.0,29783.099609375
776,egypt,egx30,2018-02-14,30515.599609375,30637.23046875,29968.5390625
777,egypt,egx30,2018-02-15,31115.4296875,31145.099609375,30816.650390625
778,egypt,egx30,2018-02-16,30873.630859375,31339.689453125,30720.48046875
779,egypt,egx30,2018-02-17,30873.630859375,31339.689453125,30720.48046875
780,egypt,egx30,2018-02-18,30873.630859375,31339.689453125,30720.48046875
781,egypt,egx30,2018-02-19,30873.630859375,31339.689453125,30720.48046875
782,egypt,egx30,2018-02-20,30873.630859375,31339.689453125,30720.48046875
783,egypt,egx30,2018-02-21,31431.890625,31477.849609375,30885.94921875
784,egypt,egx30,2018-02-22,30965.6796875,31195.26953125,30930.099609375
785,egypt,egx30,2018-02-23,31267.169921875,31386.810546875,31149.3203125
786,egypt,egx30,2018-02-24,31498.599609375,31567.4609375,31273.94921875
787,egypt,egx30,2018-02-25,31498.599609375,31567.4609375,31273.94921875
788,egypt,egx30,2018-02-26,31498.599609375,31567.4609375,31273.94921875
789,egypt,egx30,2018-02-27,31268.66015625,31798.98046875,31141.51953125
790,egypt,egx30,2018-02-28,30844.720703125,31061.759765625,30703.900390625
791,egypt,egx30,2018-03-01,31044.25,31081.6796875,30453.8203125
792,egypt,egx30,2018-03-02,30583.44921875,30670.939453125,30477.94921875
793,egypt,egx30,2018-03-03,29886.390625,30679.470703125,29852.419921875
794,egypt,egx30,2018-03-04,29886.390625,30679.470703125,29852.419921875
795,egypt,egx30,2018-03-05,29886.390625,30679.470703125,29852.419921875
796,egypt,egx30,2018-03-06,30510.73046875,30620.060546875,30129.80078125
797,egypt,egx30,2018-03-07,30196.919921875,30673.080078125,30117.400390625
798,egypt,egx30,2018-03-08,30654.51953125,30724.029296875,30428.609375
799,egypt,egx30,2018-03-09,30996.2109375,30996.2109375,30840.80078125
800,egypt,egx30,2018-03-10,31594.330078125,31607.580078125,31342.48046875
801,egypt,egx30,2018-03-11,31594.330078125,31607.580078125,31342.48046875
802,egypt,egx30,2018-03-12,31594.330078125,31607.580078125,31342.48046875
803,egypt,egx30,2018-03-13,31601.44921875,31709.990234375,31461.470703125
804,egypt,egx30,2018-03-14,31435.009765625,31453.48046875,31141.849609375
805,egypt,egx30,2018-03-15,31541.099609375,31583.380859375,31121.66015625
806,egypt,egx30,2018-03-16,31501.970703125,31564.779296875,31337.44921875
807,egypt,egx30,2018-03-17,31513.759765625,31656.30078125,31244.619140625
808,egypt,egx30,2018-03-18,31513.759765625,31656.30078125,31244.619140625
809,egypt,egx30,2018-03-19,31513.759765625,31656.30078125,31244.619140625
810,egypt,egx30,2018-03-20,31549.9296875,31576.05078125,31183.400390625
811,egypt,egx30,2018-03-21,31414.51953125,31978.140625,31381.5390625
812,egypt,egx30,2018-03-22,31071.05078125,31686.669921875,31018.439453125
813,egypt,egx30,2018-03-23,30309.2890625,30320.310546875,29930.23046875
814,egypt,egx30,2018-03-24,30548.76953125,30548.76953125,29995.16015625
815,egypt,egx30,2018-03-25,30548.76953125,30548.76953125,29995.16015625
816,egypt,egx30,2018-03-26,30548.76953125,30548.76953125,29995.16015625
817,egypt,egx30,2018-03-27,30790.830078125,30985.75,30738.759765625
818,egypt,egx30,2018-03-28,30022.529296875,30637.2109375,30022.529296875
819,egypt,egx30,2018-03-29,30093.380859375,30252.94921875,29819.630859375
820,egypt,egx30,2018-03-30,30180.099609375,30269.279296875,29755.359375
821,egypt,egx30,2018-03-31,30180.099609375,30269.279296875,29755.359375
822,egypt,egx30,2018-04-01,30180.099609375,30269.279296875,29755.359375
823,egypt,egx30,2018-04-02,30180.099609375,30269.279296875,29755.359375
824,egypt,egx30,2018-04-03,30180.099609375,30269.279296875,29755.359375
825,egypt,egx30,2018-04-04,29518.689453125,30329.080078125,29518.689453125
826,egypt,egx30,2018-04-05,29844.939453125,29980.560546875,29608.330078125
827,egypt,egx30,2018-04-06,29844.939453125,29980.560546875,29608.330078125
828,egypt,egx30,2018-04-07,30229.580078125,30514.80078125,29909.369140625
829,egypt,egx30,2018-04-08,30229.580078125,30514.80078125,29909.369140625
830,egypt,egx30,2018-04-09,30229.580078125,30514.80078125,29909.369140625
831,egypt,egx30,2018-04-10,30728.740234375,30806.859375,30163.08984375
832,egypt,egx30,2018-04-11,30897.7109375,31021.119140625,30723.0703125
833,egypt,egx30,2018-04-12,30831.279296875,31094.109375,30637.140625
834,egypt,egx30,2018-04-13,30808.380859375,31076.759765625,30707.76953125
835,egypt,egx30,2018-04-14,30315.58984375,30849.720703125,30190.75
836,egypt,egx30,2018-04-15,30315.58984375,30849.720703125,30190.75
837,egypt,egx30,2018-04-16,30315.58984375,30849.720703125,30190.75
838,egypt,egx30,2018-04-17,30062.75,30477.7890625,30012.69921875
839,egypt,egx30,2018-04-18,30284.25,30487.169921875,29979.400390625
840,egypt,egx30,2018-04-19,30708.439453125,30761.470703125,30451.0
841,egypt,egx30,2018-04-20,30418.330078125,30848.470703125,30355.7890625
842,egypt,egx30,2018-04-21,30254.400390625,30481.859375,30184.44921875
843,egypt,egx30,2018-04-22,30254.400390625,30481.859375,30184.44921875
844,egypt,egx30,2018-04-23,30254.400390625,30481.859375,30184.44921875
845,egypt,egx30,2018-04-24,30636.240234375,30665.099609375,30335.2890625
846,egypt,egx30,2018-04-25,30328.150390625,30507.189453125,30244.16015625
847,egypt,egx30,2018-04-26,30007.6796875,30463.419921875,29871.19921875
848,egypt,egx30,2018-04-27,30280.669921875,30336.0,30019.119140625
849,egypt,egx30,2018-04-28,30808.44921875,30853.130859375,30483.91015625
850,egypt,egx30,2018-04-29,30808.44921875,30853.130859375,30483.91015625
851,egypt,egx30,2018-04-30,30808.44921875,30853.130859375,30483.91015625
852,egypt,egx30,2018-05-01,30723.880859375,30824.76953125,30570.810546875
853,egypt,egx30,2018-05-02,30723.880859375,30824.76953125,30570.810546875
854,egypt,egx30,2018-05-03,30313.369140625,30432.0703125,30118.650390625
855,egypt,egx30,2018-05-04,29926.5,30341.4609375,29859.30078125
856,egypt,egx30,2018-05-05,29994.259765625,30138.330078125,29791.869140625
857,egypt,egx30,2018-05-06,29994.259765625,30138.330078125,29791.869140625
858,egypt,egx30,2018-05-07,29994.259765625,30138.330078125,29791.869140625
859,egypt,egx30,2018-05-08,30402.810546875,30444.220703125,30123.76953125
860,egypt,egx30,2018-05-09,30536.140625,30568.759765625,30346.619140625
861,egypt,egx30,2018-05-10,30809.220703125,30851.30078125,30712.9296875
862,egypt,egx30,2018-05-11,31122.060546875,31277.390625,31032.439453125
863,egypt,egx30,2018-05-12,31541.080078125,31592.560546875,31423.5703125
864,egypt,egx30,2018-05-13,31541.080078125,31592.560546875,31423.5703125
865,egypt,egx30,2018-05-14,31541.080078125,31592.560546875,31423.5703125
866,egypt,egx30,2018-05-15,31152.029296875,31573.1796875,31152.029296875
867,egypt,egx30,2018-05-16,31110.19921875,31218.080078125,30818.779296875
868,egypt,egx30,2018-05-17,30942.150390625,31416.7109375,30942.150390625
869,egypt,egx30,2018-05-18,31047.91015625,31148.060546875,30904.6796875
870,egypt,egx30,2018-05-19,31234.349609375,31464.099609375,31232.7890625
871,egypt,egx30,2018-05-20,31234.349609375,31464.099609375,31232.7890625
872,egypt,egx30,2018-05-21,31234.349609375,31464.099609375,31232.7890625
873,egypt,egx30,2018-05-22,30665.640625,31191.869140625,30665.640625
874,egypt,egx30,2018-05-23,30665.640625,31191.869140625,30665.640625
875,egypt,egx30,2018-05-24,30760.41015625,30788.970703125,30589.380859375
876,egypt,egx30,2018-05-25,30588.0390625,30736.970703125,30525.740234375
877,egypt,egx30,2018-05-26,30792.259765625,30839.30078125,30530.470703125
878,egypt,egx30,2018-05-27,30792.259765625,30839.30078125,30530.470703125
879,egypt,egx30,2018-05-28,30792.259765625,30839.30078125,30530.470703125
880,egypt,egx30,2018-05-29,30484.580078125,30713.3203125,30454.1796875
881,egypt,egx30,2018-05-30,30056.7890625,30241.23046875,29964.33984375
882,egypt,egx30,2018-05-31,30468.560546875,30533.580078125,30148.4296875
883,egypt,egx30,2018-06-01,30492.91015625,30581.119140625,30363.490234375
884,egypt,egx30,2018-06-02,30997.98046875,31012.919921875,30743.1796875
885,egypt,egx30,2018-06-03,30997.98046875,31012.919921875,30743.1796875
886,egypt,egx30,2018-06-04,30997.98046875,31012.919921875,30743.1796875
887,egypt,egx30,2018-06-05,31093.44921875,31188.9296875,30896.109375
888,egypt,egx30,2018-06-06,31259.099609375,31332.419921875,31161.369140625
889,egypt,egx30,2018-06-07,31512.630859375,31521.130859375,31369.279296875
890,egypt,egx30,2018-06-08,30958.2109375,31435.259765625,30874.099609375
891,egypt,egx30,2018-06-09,31063.69921875,31134.029296875,30898.5703125
892,egypt,egx30,2018-06-10,31063.69921875,31134.029296875,30898.5703125
893,egypt,egx30,2018-06-11,31063.69921875,31134.029296875,30898.5703125
894,egypt,egx30,2018-06-12,31103.060546875,31242.859375,30944.970703125
895,egypt,egx30,2018-06-13,30725.150390625,31023.73046875,30688.259765625
896,egypt,egx30,2018-06-14,30440.169921875,30777.9609375,30349.9609375
897,egypt,egx30,2018-06-15,30309.490234375,30519.2890625,30259.109375
898,egypt,egx30,2018-06-16,29468.150390625,30012.0390625,29332.279296875
899,egypt,egx30,2018-06-17,29468.150390625,30012.0390625,29332.279296875
900,egypt,egx30,2018-06-18,29468.150390625,30012.0390625,29332.279296875
901,egypt,egx30,2018-06-19,29468.150390625,30012.0390625,29332.279296875
902,egypt,egx30,2018-06-20,29696.169921875,29944.30078125,29406.19921875
903,egypt,egx30,2018-06-21,29296.05078125,29882.26953125,29285.7109375
904,egypt,egx30,2018-06-22,29338.69921875,29436.83984375,29089.390625
905,egypt,egx30,2018-06-23,28961.390625,29403.359375,28895.400390625
906,egypt,egx30,2018-06-24,28961.390625,29403.359375,28895.400390625
907,egypt,egx30,2018-06-25,28961.390625,29403.359375,28895.400390625
908,egypt,egx30,2018-06-26,28881.400390625,29034.23046875,28505.08984375
