id,region,ticker,date,Adj Close,price_usd,high_usd,low_usd,open_usd
2148,egypt,egx30,2021-11-17,,,,,
2149,egypt,egx30,2021-11-18,,,,,
2150,egypt,egx30,2021-11-19,,,,,
2151,egypt,egx30,2021-11-20,,,,,
2152,egypt,egx30,2021-11-21,,,,,
2153,egypt,egx30,2021-11-22,,,,,
2154,egypt,egx30,2021-11-23,,,,,
2155,egypt,egx30,2021-11-24,,,,,
2156,egypt,egx30,2021-11-25,,,,,
2157,egypt,egx30,2021-11-26,,,,,
2158,egypt,egx30,2021-11-27,,,,,
2159,egypt,egx30,2021-11-28,,,,,
2160,egypt,egx30,2021-11-29,,,,,
2161,egypt,egx30,2021-11-30,,,,,
2162,egypt,egx30,2021-12-01,,,,,
2163,egypt,egx30,2021-12-02,,,,,
2164,egypt,egx30,2021-12-03,,,,,
2165,egypt,egx30,2021-12-04,,,,,
2166,egypt,egx30,2021-12-05,,,,,
2167,egypt,egx30,2021-12-06,,,,,
2168,egypt,egx30,2021-12-07,,,,,
2169,egypt,egx30,2021-12-08,,,,,
2170,egypt,egx30,2021-12-09,,,,,
2171,egypt,egx30,2021-12-10,,,,,
2172,egypt,egx30,2021-12-11,,,,,
2173,egypt,egx30,2021-12-12,,,,,
2174,egypt,egx30,2021-12-13,,,,,
2175,egypt,egx30,2021-12-14,,,,,
2176,egypt,egx30,2021-12-15,,,,,
2177,egypt,egx30,2021-12-16,,,,,
2178,egypt,egx30,2021-12-17,,,,,
2179,egypt,egx30,2021-12-18,,,,,
2180,egypt,egx30,2021-12-19,,,,,
2181,egypt,egx30,2021-12-20,,,,,
2182,egypt,egx30,2021-12-21,,,,,
2183,egypt,egx30,2021-12-22,,,,,
2184,egypt,egx30,2021-12-23,,,,,
2185,egypt,egx30,2021-12-24,,,,,
2186,egypt,egx30,2021-12-25,,,,,
2187,egypt,egx30,2021-12-26,,,,,
2188,egypt,egx30,2021-12-27,,,,,
2189,egypt,egx30,2021-12-28,,,,,
2190,egypt,egx30,2021-12-29,,,,,
2191,egypt,egx30,2021-12-30,,,,,
2192,egypt,egx30,2021-12-31,,,,,
2193,egypt,egx30,2022-01-01,,,,,
2194,egypt,egx30,2022-01-02,,,,,
2195,egypt,egx30,2022-01-03,,,,,
2196,egypt,egx30,2022-01-04,,,,,
2197,egypt,egx30,2022-01-05,,,,,
2198,egypt,egx30,2022-01-06,,,,,
2199,egypt,egx30,2022-01-07,,,,,
2200,egypt,egx30,2022-01-08,,,,,
2201,egypt,egx30,2022-01-09,,,,,
2202,egypt,egx30,2022-01-10,,,,,
2203,egypt,egx30,2022-01-11,,,,,
2204,egypt,egx30,2022-01-12,,,,,
2205,egypt,egx30,2022-01-13,,,,,
2206,egypt,egx30,2022-01-14,,,,,
2207,egypt,egx30,2022-01-15,,,,,
2208,egypt,egx30,2022-01-16,,,,,
2209,egypt,egx30,2022-01-17,,,,,
2210,egypt,egx30,2022-01-18,,,,,
2211,egypt,egx30,2022-01-19,,,,,
2212,egypt,egx30,2022-01-20,,,,,
2213,egypt,egx30,2022-01-21,,,,,
2214,egypt,egx30,2022-01-22,,,,,
2215,egypt,egx30,2022-01-23,,,,,
2216,egypt,egx30,2022-01-24,,,,,
2217,egypt,egx30,2022-01-25,,,,,
2218,egypt,egx30,2022-01-26,,,,,
2219,egypt,egx30,2022-01-27,,,,,
2220,egypt,egx30,2022-01-28,,,,,
2221,egypt,egx30,2022-01-29,,,,,
2222,egypt,egx30,2022-01-30,,,,,
