"Date","Value"
"07/01/1954",26.9
"08/01/1954",26.9
"09/01/1954",26.8
"10/01/1954",26.8
"11/01/1954",26.8
"12/01/1954",26.7
"01/01/1955",26.7
"02/01/1955",26.7
"03/01/1955",26.7
"04/01/1955",26.7
"05/01/1955",26.7
"06/01/1955",26.7
"07/01/1955",26.8
"08/01/1955",26.8
"09/01/1955",26.9
"10/01/1955",26.9
"11/01/1955",26.9
"12/01/1955",26.8
"01/01/1956",26.8
"02/01/1956",26.8
"03/01/1956",26.8
"04/01/1956",26.9
"05/01/1956",27
"06/01/1956",27.2
"07/01/1956",27.4
"08/01/1956",27.3
"09/01/1956",27.4
"10/01/1956",27.5
"11/01/1956",27.5
"12/01/1956",27.6
"01/01/1957",27.6
"02/01/1957",27.7
"03/01/1957",27.8
"04/01/1957",27.9
"05/01/1957",28
"06/01/1957",28.1
"07/01/1957",28.3
"08/01/1957",28.3
"09/01/1957",28.3
"10/01/1957",28.3
"11/01/1957",28.4
"12/01/1957",28.4
"01/01/1958",28.6
"02/01/1958",28.6
"03/01/1958",28.8
"04/01/1958",28.9
"05/01/1958",28.9
"06/01/1958",28.9
"07/01/1958",29
"08/01/1958",28.9
"09/01/1958",28.9
"10/01/1958",28.9
"11/01/1958",29
"12/01/1958",28.9
"01/01/1959",29
"02/01/1959",28.9
"03/01/1959",28.9
"04/01/1959",29
"05/01/1959",29
"06/01/1959",29.1
"07/01/1959",29.2
"08/01/1959",29.2
"09/01/1959",29.3
"10/01/1959",29.4
"11/01/1959",29.4
"12/01/1959",29.4
"01/01/1960",29.3
"02/01/1960",29.4
"03/01/1960",29.4
"04/01/1960",29.5
"05/01/1960",29.5
"06/01/1960",29.6
"07/01/1960",29.6
"08/01/1960",29.6
"09/01/1960",29.6
"10/01/1960",29.8
"11/01/1960",29.8
"12/01/1960",29.8
"01/01/1961",29.8
"02/01/1961",29.8
"03/01/1961",29.8
"04/01/1961",29.8
"05/01/1961",29.8
"06/01/1961",29.8
"07/01/1961",30
"08/01/1961",29.9
"09/01/1961",30
"10/01/1961",30
"11/01/1961",30
"12/01/1961",30
"01/01/1962",30
"02/01/1962",30.1
"03/01/1962",30.1
"04/01/1962",30.2
"05/01/1962",30.2
"06/01/1962",30.2
"07/01/1962",30.3
"08/01/1962",30.3
"09/01/1962",30.4
"10/01/1962",30.4
"11/01/1962",30.4
"12/01/1962",30.4
"01/01/1963",30.4
"02/01/1963",30.4
"03/01/1963",30.5
"04/01/1963",30.5
"05/01/1963",30.5
"06/01/1963",30.6
"07/01/1963",30.7
"08/01/1963",30.7
"09/01/1963",30.7
"10/01/1963",30.8
"11/01/1963",30.8
"12/01/1963",30.9
"01/01/1964",30.9
"02/01/1964",30.9
"03/01/1964",30.9
"04/01/1964",30.9
"05/01/1964",30.9
"06/01/1964",31
"07/01/1964",31.1
"08/01/1964",31
"09/01/1964",31.1
"10/01/1964",31.1
"11/01/1964",31.2
"12/01/1964",31.2
"01/01/1965",31.2
"02/01/1965",31.2
"03/01/1965",31.3
"04/01/1965",31.4
"05/01/1965",31.4
"06/01/1965",31.6
"07/01/1965",31.6
"08/01/1965",31.6
"09/01/1965",31.6
"10/01/1965",31.7
"11/01/1965",31.7
"12/01/1965",31.8
"01/01/1966",31.8
"02/01/1966",32
"03/01/1966",32.1
"04/01/1966",32.3
"05/01/1966",32.3
"06/01/1966",32.4
"07/01/1966",32.5
"08/01/1966",32.7
"09/01/1966",32.7
"10/01/1966",32.9
"11/01/1966",32.9
"12/01/1966",32.9
"01/01/1967",32.9
"02/01/1967",32.9
"03/01/1967",33
"04/01/1967",33.1
"05/01/1967",33.2
"06/01/1967",33.3
"07/01/1967",33.4
"08/01/1967",33.5
"09/01/1967",33.6
"10/01/1967",33.7
"11/01/1967",33.8
"12/01/1967",33.9
"01/01/1968",34.1
"02/01/1968",34.2
"03/01/1968",34.3
"04/01/1968",34.4
"05/01/1968",34.5
"06/01/1968",34.7
"07/01/1968",34.9
"08/01/1968",35
"09/01/1968",35.1
"10/01/1968",35.3
"11/01/1968",35.4
"12/01/1968",35.5
"01/01/1969",35.6
"02/01/1969",35.8
"03/01/1969",36.1
"04/01/1969",36.3
"05/01/1969",36.4
"06/01/1969",36.6
"07/01/1969",36.8
"08/01/1969",37
"09/01/1969",37.1
"10/01/1969",37.3
"11/01/1969",37.5
"12/01/1969",37.7
"01/01/1970",37.8
"02/01/1970",38
"03/01/1970",38.2
"04/01/1970",38.5
"05/01/1970",38.6
"06/01/1970",38.8
"07/01/1970",39
"08/01/1970",39
"09/01/1970",39.2
"10/01/1970",39.4
"11/01/1970",39.6
"12/01/1970",39.8
"01/01/1971",39.8
"02/01/1971",39.9
"03/01/1971",40
"04/01/1971",40.1
"05/01/1971",40.3
"06/01/1971",40.6
"07/01/1971",40.7
"08/01/1971",40.8
"09/01/1971",40.8
"10/01/1971",40.9
"11/01/1971",40.9
"12/01/1971",41.1
"01/01/1972",41.1
"02/01/1972",41.3
"03/01/1972",41.4
"04/01/1972",41.5
"05/01/1972",41.6
"06/01/1972",41.7
"07/01/1972",41.9
"08/01/1972",42
"09/01/1972",42.1
"10/01/1972",42.3
"11/01/1972",42.4
"12/01/1972",42.5
"01/01/1973",42.6
"02/01/1973",42.9
"03/01/1973",43.3
"04/01/1973",43.6
"05/01/1973",43.9
"06/01/1973",44.2
"07/01/1973",44.3
"08/01/1973",45.1
"09/01/1973",45.2
"10/01/1973",45.6
"11/01/1973",45.9
"12/01/1973",46.2
"01/01/1974",46.6
"02/01/1974",47.2
"03/01/1974",47.8
"04/01/1974",48
"05/01/1974",48.6
"06/01/1974",49
"07/01/1974",49.4
"08/01/1974",50
"09/01/1974",50.6
"10/01/1974",51.1
"11/01/1974",51.5
"12/01/1974",51.9
"01/01/1975",52.1
"02/01/1975",52.5
"03/01/1975",52.7
"04/01/1975",52.9
"05/01/1975",53.2
"06/01/1975",53.6
"07/01/1975",54.2
"08/01/1975",54.3
"09/01/1975",54.6
"10/01/1975",54.9
"11/01/1975",55.3
"12/01/1975",55.5
"01/01/1976",55.6
"02/01/1976",55.8
"03/01/1976",55.9
"04/01/1976",56.1
"05/01/1976",56.5
"06/01/1976",56.8
"07/01/1976",57.1
"08/01/1976",57.4
"09/01/1976",57.6
"10/01/1976",57.9
"11/01/1976",58
"12/01/1976",58.2
"01/01/1977",58.5
"02/01/1977",59.1
"03/01/1977",59.5
"04/01/1977",60
"05/01/1977",60.3
"06/01/1977",60.7
"07/01/1977",61
"08/01/1977",61.2
"09/01/1977",61.4
"10/01/1977",61.6
"11/01/1977",61.9
"12/01/1977",62.1
"01/01/1978",62.5
"02/01/1978",62.9
"03/01/1978",63.4
"04/01/1978",63.9
"05/01/1978",64.5
"06/01/1978",65.2
