id,country,date,ticker,value_in_egp
9302,egypt,2022-05-14,price_oz_egp,"33,280.52"
9303,egypt,2022-05-14,low_price_egp,"32,683.33"
9304,egypt,2022-05-14,open_price_egp,"33,160.34"
9305,egypt,2022-05-15,open_price_egp,"33,160.34"
9306,egypt,2022-05-15,low_price_egp,"32,683.33"
9307,egypt,2022-05-15,price_oz_egp,"33,280.52"
9308,egypt,2022-05-15,high_price_egp,"33,401.87"
9309,egypt,2022-05-16,price_oz_egp,"33,280.52"
9310,egypt,2022-05-16,open_price_egp,"33,160.34"
9311,egypt,2022-05-16,high_price_egp,"33,401.87"
9312,egypt,2022-05-16,low_price_egp,"32,683.33"
9313,egypt,2022-05-17,open_price_egp,"33,343.25"
9314,egypt,2022-05-17,high_price_egp,"33,607.60"
9315,egypt,2022-05-17,low_price_egp,"33,135.71"
9316,egypt,2022-05-17,price_oz_egp,"33,106.78"
9317,egypt,2022-05-18,low_price_egp,"33,002.23"
9318,egypt,2022-05-18,high_price_egp,"33,361.38"
9319,egypt,2022-05-18,open_price_egp,"33,179.52"
9320,egypt,2022-05-18,price_oz_egp,"33,069.47"
9321,egypt,2022-05-19,open_price_egp,"33,172.38"
9322,egypt,2022-05-19,low_price_egp,"33,043.47"
9323,egypt,2022-05-19,price_oz_egp,"33,609.02"
9324,egypt,2022-05-19,high_price_egp,"33,800.14"
9325,egypt,2022-05-20,open_price_egp,"33,672.60"
9326,egypt,2022-05-20,low_price_egp,"33,495.37"
9327,egypt,2022-05-20,price_oz_egp,"33,692.05"
9328,egypt,2022-05-20,high_price_egp,"33,810.60"
9329,egypt,2022-05-21,low_price_egp,"33,700.52"
9330,egypt,2022-05-21,price_oz_egp,"34,039.02"
9331,egypt,2022-05-21,high_price_egp,"34,374.63"
9332,egypt,2022-05-21,open_price_egp,"33,745.35"
9333,egypt,2022-05-22,price_oz_egp,"34,039.02"
9334,egypt,2022-05-22,open_price_egp,"33,745.35"
9335,egypt,2022-05-22,low_price_egp,"33,700.52"
9336,egypt,2022-05-22,high_price_egp,"34,374.63"
9337,egypt,2022-05-23,high_price_egp,"34,374.63"
9338,egypt,2022-05-23,price_oz_egp,"34,039.02"
9339,egypt,2022-05-23,low_price_egp,"33,700.52"
9340,egypt,2022-05-23,open_price_egp,"33,745.35"
9341,egypt,2022-05-24,open_price_egp,"34,116.17"
9342,egypt,2022-05-24,low_price_egp,"34,013.96"
9343,egypt,2022-05-24,price_oz_egp,"34,501.65"
9344,egypt,2022-05-24,high_price_egp,"34,632.23"
9345,egypt,2022-05-25,price_oz_egp,"34,424.84"
9346,egypt,2022-05-25,high_price_egp,"34,614.52"
9347,egypt,2022-05-25,low_price_egp,"34,280.95"
9348,egypt,2022-05-25,open_price_egp,"34,593.46"
9349,egypt,2022-05-26,price_oz_egp,"34,378.07"
9350,egypt,2022-05-26,low_price_egp,"34,140.74"
9351,egypt,2022-05-26,high_price_egp,"34,506.89"
9352,egypt,2022-05-26,open_price_egp,"34,484.85"
9353,egypt,2022-05-27,open_price_egp,"34,427.55"
9354,egypt,2022-05-27,low_price_egp,"34,377.59"
9355,egypt,2022-05-27,price_oz_egp,"34,432.60"
9356,egypt,2022-05-27,high_price_egp,"34,648.01"
9357,egypt,2022-05-28,high_price_egp,"34,680.86"
9358,egypt,2022-05-28,price_oz_egp,"34,488.44"
9359,egypt,2022-05-28,open_price_egp,"34,441.62"
9360,egypt,2022-05-28,low_price_egp,"34,362.00"
9361,egypt,2022-05-29,price_oz_egp,"34,488.44"
9362,egypt,2022-05-29,open_price_egp,"34,441.62"
9363,egypt,2022-05-29,low_price_egp,"34,362.00"
9364,egypt,2022-05-29,high_price_egp,"34,680.86"
9365,egypt,2022-05-30,low_price_egp,"34,362.00"
9366,egypt,2022-05-30,price_oz_egp,"34,488.44"
9367,egypt,2022-05-30,open_price_egp,"34,441.62"
9368,egypt,2022-05-30,high_price_egp,"34,680.86"
9369,egypt,2022-05-31,high_price_egp,"34,579.13"
9370,egypt,2022-05-31,low_price_egp,"34,124.80"
9371,egypt,2022-05-31,open_price_egp,"34,538.24"
9372,egypt,2022-05-31,price_oz_egp,"34,129.42"
9373,egypt,2022-06-01,high_price_egp,"34,493.10"
9374,egypt,2022-06-01,open_price_egp,"34,177.62"
9375,egypt,2022-06-01,low_price_egp,"34,004.54"
9376,egypt,2022-06-01,price_oz_egp,"34,337.27"
9377,egypt,2022-06-02,low_price_egp,"34,347.21"
9378,egypt,2022-06-02,high_price_egp,"34,897.74"
9379,egypt,2022-06-02,open_price_egp,"34,401.26"
9380,egypt,2022-06-02,price_oz_egp,"34,703.54"
9381,egypt,2022-06-03,low_price_egp,"34,410.00"
9382,egypt,2022-06-03,open_price_egp,"34,811.95"
9383,egypt,2022-06-03,high_price_egp,"34,918.24"
9384,egypt,2022-06-03,price_oz_egp,"34,424.24"
9385,egypt,2022-06-04,open_price_egp,"34,482.24"
9386,egypt,2022-06-04,high_price_egp,"34,667.04"
9387,egypt,2022-06-04,low_price_egp,"34,329.42"
9388,egypt,2022-06-04,price_oz_egp,"34,294.04"
9389,egypt,2022-06-05,open_price_egp,"34,482.24"
9390,egypt,2022-06-05,low_price_egp,"34,329.42"
9391,egypt,2022-06-05,high_price_egp,"34,667.04"
9392,egypt,2022-06-05,price_oz_egp,"34,294.04"
9393,egypt,2022-06-06,open_price_egp,"34,482.24"
